x,y
915,503
916,503
917,503
918,503
940,503
941,503
942,503
943,503
944,503
945,503
946,503
947,503
910,504
911,504
912,504
913,504
914,504
915,504
916,504
917,504
940,504
941,504
942,504
943,504
944,504
945,504
946,504
911,505
912,505
913,505
914,505
915,505
916,505
917,505
940,505
941,505
942,505
943,505
944,505
945,505
946,505
947,505
911,506
912,506
913,506
914,506
915,506
916,506
917,506
940,506
941,506
942,506
943,506
944,506
945,506
946,506
910,507
911,507
912,507
913,507
914,507
915,507
916,507
917,507
939,507
940,507
941,507
942,507
943,507
944,507
945,507
946,507
911,508
912,508
913,508
914,508
915,508
916,508
917,508
941,508
942,508
943,508
944,508
945,508
946,508
947,508
948,508
949,508
950,508
910,509
911,509
912,509
913,509
914,509
915,509
916,509
917,509
941,509
942,509
943,509
944,509
945,509
946,509
947,509
948,509
949,509
911,510
912,510
913,510
914,510
915,510
916,510
917,510
941,510
942,510
943,510
944,510
945,510
946,510
947,510
948,510
910,511
911,511
912,511
913,511
914,511
915,511
916,511
917,511
941,511
942,511
943,511
944,511
945,511
946,511
947,511
948,511
910,512
911,512
912,512
913,512
914,512
915,512
916,512
917,512
918,512
919,512
941,512
942,512
943,512
944,512
945,512
946,512
947,512
948,512
949,512
912,513
913,513
914,513
915,513
916,513
917,513
918,513
919,513
943,513
944,513
945,513
946,513
947,513
948,513
949,513
912,514
913,514
914,514
915,514
916,514
917,514
918,514
919,514
942,514
943,514
944,514
945,514
946,514
947,514
948,514
949,514
914,515
915,515
916,515
917,515
918,515
919,515
943,515
944,515
945,515
946,515
947,515
948,515
949,515
950,515
951,515
914,516
915,516
916,516
917,516
918,516
919,516
942,516
943,516
944,516
945,516
946,516
947,516
948,516
949,516
950,516
951,516
914,517
915,517
916,517
917,517
918,517
919,517
944,517
945,517
946,517
947,517
948,517
949,517
950,517
951,517
914,518
915,518
916,518
917,518
918,518
919,518
944,518
945,518
946,518
947,518
948,518
949,518
950,518
914,519
915,519
916,519
917,519
918,519
919,519
920,519
921,519
922,519
944,519
945,519
946,519
947,519
948,519
949,519
950,519
951,519
952,519
914,520
915,520
916,520
917,520
918,520
919,520
920,520
921,520
922,520
944,520
945,520
946,520
947,520
948,520
949,520
950,520
951,520
952,520
914,521
915,521
916,521
917,521
918,521
919,521
920,521
921,521
922,521
943,521
944,521
945,521
946,521
947,521
948,521
949,521
950,521
951,521
952,521
914,522
915,522
916,522
917,522
918,522
919,522
920,522
921,522
945,522
946,522
947,522
948,522
949,522
950,522
951,522
952,522
914,523
915,523
916,523
917,523
918,523
919,523
920,523
945,523
946,523
947,523
948,523
949,523
950,523
951,523
916,524
917,524
918,524
919,524
920,524
947,524
948,524
949,524
950,524
951,524
952,524
953,524
916,525
917,525
918,525
919,525
920,525
946,525
947,525
948,525
949,525
950,525
951,525
952,525
953,525
916,526
917,526
918,526
919,526
920,526
921,526
922,526
923,526
924,526
946,526
947,526
948,526
949,526
950,526
951,526
952,526
953,526
916,527
917,527
918,527
919,527
920,527
921,527
922,527
923,527
924,527
945,527
946,527
947,527
948,527
949,527
950,527
951,527
952,527
953,527
916,528
917,528
918,528
919,528
920,528
921,528
922,528
923,528
924,528
945,528
946,528
947,528
