x,y
125,512
126,512
127,512
128,512
129,512
142,512
143,512
144,512
145,512
146,512
147,512
148,512
149,512
30,513
31,513
121,513
122,513
123,513
124,513
125,513
126,513
127,513
128,513
144,513
145,513
146,513
147,513
148,513
149,513
150,513
32,514
33,514
122,514
123,514
124,514
125,514
126,514
127,514
128,514
129,514
145,514
146,514
147,514
148,514
149,514
150,514
151,514
34,515
35,515
117,515
123,515
124,515
125,515
126,515
127,515
128,515
129,515
130,515
131,515
143,515
144,515
145,515
146,515
147,515
148,515
149,515
150,515
151,515
152,515
36,516
37,516
118,516
119,516
124,516
125,516
126,516
127,516
128,516
129,516
130,516
131,516
132,516
144,516
145,516
146,516
147,516
148,516
149,516
150,516
151,516
152,516
153,516
37,517
38,517
124,517
125,517
126,517
127,517
128,517
129,517
130,517
131,517
132,517
145,517
146,517
147,517
148,517
149,517
150,517
151,517
152,517
153,517
39,518
40,518
125,518
126,518
127,518
128,518
129,518
130,518
131,518
132,518
133,518
146,518
147,518
148,518
149,518
150,518
151,518
152,518
153,518
154,518
126,519
127,519
128,519
129,519
130,519
131,519
132,519
133,519
134,519
146,519
147,519
148,519
149,519
150,519
151,519
152,519
153,519
154,519
155,519
0,520
1,520
126,520
127,520
128,520
129,520
130,520
131,520
132,520
133,520
134,520
135,520
147,520
148,520
149,520
150,520
151,520
152,520
153,520
1,521
2,521
3,521
4,521
127,521
128,521
129,521
130,521
131,521
132,521
133,521
134,521
135,521
136,521
148,521
149,521
150,521
151,521
152,521
153,521
154,521
4,522
5,522
6,522
7,522
17,522
18,522
128,522
129,522
130,522
131,522
132,522
133,522
134,522
148,522
149,522
150,522
151,522
152,522
153,522
154,522
155,522
6,523
7,523
8,523
9,523
19,523
20,523
129,523
130,523
131,523
132,523
133,523
134,523
135,523
149,523
150,523
151,523
152,523
153,523
154,523
155,523
156,523
8,524
9,524
10,524
11,524
21,524
22,524
23,524
129,524
130,524
131,524
132,524
133,524
134,524
150,524
151,524
152,524
153,524
154,524
155,524
156,524
10,525
11,525
12,525
13,525
23,525
24,525
25,525
130,525
131,525
132,525
133,525
134,525
135,525
151,525
152,525
153,525
154,525
155,525
156,525
157,525
12,526
13,526
14,526
15,526
129,526
130,526
131,526
132,526
133,526
134,526
135,526
151,526
152,526
153,526
154,526
155,526
156,526
157,526
158,526
159,526
14,527
15,527
16,527
17,527
130,527
131,527
132,527
133,527
134,527
135,527
136,527
152,527
153,527
154,527
155,527
156,527
157,527
158,527
159,527
16,528
17,528
18,528
19,528
131,528
132,528
133,528
134,528
135,528
136,528
137,528
152,528
153,528
154,528
155,528
156,528
157,528
158,528
159,528
18,529
19,529
20,529
21,529
124,529
125,529
132,529
133,529
134,529
135,529
136,529
137,529
138,529
153,529
154,529
155,529
156,529
157,529
158,529
159,529
21,530
22,530
23,530
132,530
133,530
134,530
135,530
136,530
137,530
138,530
139,530
154,530
155,530
156,530
157,530
158,530
159,530
24,531
25,531
133,531
134,531
135,531
136,531
137,531
138,531
139,531
155,531
156,531
157,531
158,531
159,531
26,532
134,532
135,532
136,532
137,532
138,532
139,532
140,532
155,532
156,532
157,532
158,532
159,532
133,533
134,533
135,533
136,533
137,533
138,533
139,533
140,533
141,533
154,533
155,533
156,533
157,533
158,533
159,533
134,534
135,534
136,534
137,534
138,534
139,534
140,534
